Length,Alanine,Arginine,Asparagine,Aspartic_Acid,Cysteine,Glutamic_Acid,Glutamine,Glycine,Histidine,Isoleucine,Leucine,Lysine,Mathionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,Aliphatic,Aromatic,NonPolar,Polar,Charged,Basic,Acidic,"Celularity (Sing, Mult)_SING","Celularity (Sing, Mult)_MUL","Celularity (Sing, Mult)_COMP","Celularity (Sing, Mult)_UN","Tissue (Yes, No)_NOT","Tissue (Yes, No)_COMP","Tissue (Yes, No)_YES","Mesoderm (Yes, NO)_NOT","Mesoderm (Yes, NO)_COMP","Mesoderm (Yes, NO)_YES",Mouthparts(Pro-Deuter)_NO,Mouthparts(Pro-Deuter)_PRO,Mouthparts(Pro-Deuter)_NOT,Mouthparts(Pro-Deuter)_COMP,Mouthparts(Pro-Deuter)_DEU
13,0,0,0,0,0,0,0.077,0.385,0.308,0,0,0,0,0,0,0.077,0,0,0,0.154,0.154,0.308,0.538,0.462,0.308,0.308,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
25,0.08,0.2,0,0,0.08,0,0.04,0.04,0,0.04,0.04,0.12,0.04,0.08,0.04,0.04,0.04,0.08,0,0.04,0.2,0.16,0.56,0.44,0.32,0.32,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
6,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0.333,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
21,0.095,0,0.048,0.048,0.19,0,0,0.19,0,0.048,0.048,0,0,0.095,0,0.048,0,0.048,0.048,0.095,0.286,0.19,0.857,0.143,0.048,0,0.048,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
17,0.059,0,0,0,0,0,0,0,0.059,0.059,0.118,0.412,0,0.176,0,0.059,0,0.059,0,0,0.235,0.294,0.471,0.529,0.471,0.471,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
21,0,0.143,0,0,0,0,0.143,0.048,0,0,0.143,0.095,0,0.143,0.095,0.095,0.095,0,0,0,0.143,0.143,0.429,0.571,0.238,0.238,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
44,0.045,0.045,0.091,0.045,0.136,0.045,0,0.159,0.023,0.023,0.023,0.068,0,0.023,0,0.068,0.045,0.045,0.045,0.068,0.159,0.136,0.568,0.432,0.227,0.136,0.091,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
37,0.243,0.108,0.027,0.027,0,0.054,0.054,0.108,0,0.081,0.027,0.027,0,0.027,0.054,0.027,0.027,0.027,0,0.081,0.432,0.054,0.649,0.351,0.216,0.135,0.081,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
37,0.27,0.108,0.027,0.027,0,0.054,0.054,0.081,0,0.081,0.027,0.027,0,0.027,0.054,0.027,0.027,0.027,0,0.081,0.459,0.054,0.649,0.351,0.216,0.135,0.081,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
36,0.278,0.111,0.028,0.028,0,0.056,0.056,0.083,0,0.056,0.028,0.028,0,0.028,0.028,0.028,0.028,0.028,0,0.111,0.472,0.056,0.639,0.361,0.222,0.139,0.083,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
26,0.115,0,0,0,0,0,0.077,0.077,0,0.038,0.077,0.231,0.038,0.038,0,0.115,0.038,0.077,0.038,0.038,0.269,0.154,0.538,0.462,0.231,0.231,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
38,0.026,0.105,0.053,0.026,0.158,0,0.026,0.105,0.053,0.105,0.026,0.026,0.026,0.053,0.079,0.053,0.026,0.026,0,0.026,0.184,0.132,0.632,0.368,0.211,0.184,0.026,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
40,0,0.2,0.05,0,0.15,0,0.025,0.1,0.025,0.1,0,0.025,0,0.05,0.075,0.025,0.075,0.025,0,0.075,0.175,0.1,0.575,0.425,0.25,0.25,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
42,0,0.19,0.048,0,0.143,0,0.048,0.119,0.024,0.095,0,0.024,0,0.048,0.071,0.024,0.071,0.024,0,0.071,0.167,0.095,0.571,0.429,0.238,0.238,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
41,0,0.195,0.049,0,0.146,0,0.073,0.098,0,0.049,0.024,0,0.049,0.049,0.098,0.024,0.024,0.024,0,0.098,0.171,0.073,0.634,0.366,0.195,0.195,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
42,0,0.143,0.071,0,0.143,0,0.071,0.095,0,0.071,0,0,0.048,0.024,0.119,0.048,0.024,0.048,0,0.095,0.167,0.071,0.643,0.357,0.143,0.143,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
42,0,0.19,0.024,0,0.143,0,0.048,0.143,0.024,0.071,0,0.024,0,0.048,0.071,0,0.071,0.024,0.024,0.095,0.167,0.119,0.619,0.381,0.238,0.238,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
40,0,0.2,0.05,0,0.15,0,0.05,0.125,0.025,0.1,0.025,0.025,0,0.05,0.075,0,0.05,0,0,0.075,0.2,0.075,0.6,0.4,0.25,0.25,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
38,0,0.184,0.053,0,0.158,0,0.053,0.105,0.026,0.105,0.026,0.026,0,0.053,0.079,0,0.053,0,0,0.079,0.211,0.079,0.605,0.395,0.237,0.237,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
40,0.025,0.175,0.05,0,0.15,0,0.075,0.1,0.025,0.1,0.025,0.025,0,0.05,0.075,0,0.05,0,0,0.075,0.225,0.075,0.6,0.4,0.225,0.225,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
40,0.025,0.175,0.05,0,0.15,0,0.05,0.125,0,0.05,0.1,0.025,0.025,0,0.05,0.05,0.025,0.025,0.025,0.05,0.225,0.05,0.625,0.375,0.2,0.2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
38,0,0.158,0.026,0,0.158,0,0.026,0.158,0,0.079,0.026,0.026,0.026,0.026,0.132,0.053,0.026,0.026,0,0.053,0.158,0.053,0.684,0.316,0.184,0.184,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
38,0,0.132,0.026,0,0.158,0,0.026,0.158,0,0.079,0.026,0.026,0.026,0.026,0.132,0.053,0.026,0.026,0,0.079,0.184,0.053,0.711,0.289,0.158,0.158,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
42,0,0.119,0.024,0,0.143,0,0.024,0.167,0,0.095,0.024,0.024,0.024,0.024,0.119,0.095,0.024,0.024,0,0.071,0.19,0.048,0.69,0.31,0.143,0.143,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
24,0.25,0,0.042,0,0,0.042,0,0.208,0.042,0.042,0.167,0.125,0,0.042,0,0.042,0,0,0,0,0.458,0.083,0.708,0.292,0.208,0.167,0.042,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
27,0.222,0,0.037,0,0,0.037,0,0.185,0.037,0.074,0.148,0.111,0,0.037,0,0.111,0,0,0,0,0.444,0.074,0.667,0.333,0.185,0.148,0.037,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
27,0.222,0,0.037,0,0,0.037,0,0.185,0.037,0.074,0.148,0.111,0,0.037,0,0.111,0,0,0,0,0.444,0.074,0.667,0.333,0.185,0.148,0.037,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
25,0.24,0,0,0,0,0.04,0,0.2,0.04,0.08,0.16,0.12,0,0.04,0,0.08,0,0,0,0,0.48,0.08,0.72,0.28,0.2,0.16,0.04,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
25,0.2,0,0.04,0,0,0.04,0,0.2,0.04,0.16,0.12,0.08,0,0.04,0,0.08,0,0,0,0,0.48,0.08,0.72,0.28,0.16,0.12,0.04,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
27,0.222,0,0.037,0,0,0.037,0,0.222,0.037,0.037,0.185,0.111,0,0.037,0,0.074,0,0,0,0,0.444,0.074,0.704,0.296,0.185,0.148,0.037,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
20,0.05,0,0,0,0,0,0,0.25,0,0.15,0.2,0.1,0.05,0,0.05,0.05,0,0,0,0.1,0.5,0,0.85,0.15,0.1,0.1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
20,0.05,0,0,0,0,0,0,0.25,0,0.1,0.3,0.1,0,0,0.05,0.05,0,0,0,0.1,0.55,0,0.85,0.15,0.1,0.1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
20,0.05,0,0,0,0,0,0,0.25,0,0.15,0.25,0.1,0,0,0.05,0.05,0,0,0,0.1,0.55,0,0.85,0.15,0.1,0.1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
27,0.148,0,0.037,0,0,0.037,0,0.185,0,0.074,0.148,0.148,0,0,0,0.037,0.111,0,0.037,0.037,0.407,0.037,0.63,0.37,0.185,0.148,0.037,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
27,0.111,0,0.037,0,0,0.037,0,0.185,0,0.074,0.148,0.148,0,0,0,0.037,0.111,0,0.037,0.074,0.407,0.037,0.63,0.37,0.185,0.148,0.037,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
27,0.148,0,0,0,0,0.037,0,0.185,0.037,0.074,0.185,0.148,0,0,0,0.074,0.074,0,0.037,0,0.407,0.074,0.63,0.37,0.222,0.185,0.037,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
27,0.222,0,0.037,0,0,0.037,0,0.185,0,0.037,0.185,0.148,0,0,0,0.037,0,0,0.037,0.074,0.519,0.037,0.741,0.259,0.185,0.148,0.037,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
27,0.111,0,0,0,0,0.037,0.037,0.148,0,0.074,0.148,0.148,0,0.074,0,0.074,0.074,0,0.037,0.037,0.37,0.111,0.63,0.37,0.185,0.148,0.037,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
20,0.05,0,0,0,0,0,0,0.2,0,0.15,0.25,0.1,0,0,0.05,0.1,0,0,0,0.1,0.55,0,0.8,0.2,0.1,0.1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
20,0.05,0,0.1,0,0,0.05,0,0.25,0,0.1,0.25,0.05,0,0,0.05,0,0,0,0,0.1,0.5,0,0.8,0.2,0.1,0.05,0.05,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
20,0.05,0,0.1,0,0,0.05,0,0.2,0,0.05,0.3,0.05,0,0,0.05,0.05,0,0,0,0.1,0.5,0,0.75,0.25,0.1,0.05,0.05,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
17,0.118,0,0,0,0,0,0,0.059,0.059,0.118,0.176,0.176,0.059,0,0,0,0.118,0,0,0.118,0.529,0.059,0.647,0.353,0.235,0.235,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
17,0.118,0,0,0.059,0,0,0,0.059,0.059,0.118,0.176,0.176,0,0,0,0.059,0.059,0,0,0.118,0.529,0.059,0.588,0.412,0.294,0.235,0.059,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
17,0.118,0,0,0.059,0,0,0,0.059,0.059,0.176,0.176,0.176,0.059,0,0,0,0,0,0,0.118,0.588,0.059,0.706,0.294,0.294,0.235,0.059,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
17,0.059,0,0.059,0.059,0,0,0,0.059,0.059,0.176,0.176,0.176,0,0,0,0,0,0,0,0.176,0.588,0.059,0.647,0.353,0.294,0.235,0.059,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
17,0.059,0,0.059,0,0,0,0,0.176,0.059,0.118,0.353,0.059,0,0,0,0.059,0,0,0,0.059,0.588,0.059,0.765,0.235,0.118,0.118,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
24,0.125,0.042,0,0,0.083,0,0,0,0,0.167,0.042,0.125,0.042,0.083,0.083,0.042,0.083,0,0,0.083,0.417,0.083,0.708,0.292,0.167,0.167,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
23,0.217,0.043,0,0,0.087,0.043,0.043,0,0.043,0.043,0,0.043,0.043,0.043,0.043,0.087,0,0,0.043,0.174,0.435,0.13,0.696,0.304,0.174,0.13,0.043,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
24,0.125,0.042,0.042,0,0.083,0,0,0.042,0,0.083,0.208,0.125,0,0.125,0.083,0,0.042,0,0,0,0.417,0.125,0.75,0.25,0.167,0.167,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
24,0.167,0,0,0,0.083,0,0,0.042,0,0.083,0.125,0.167,0,0.083,0.083,0,0.042,0,0,0.125,0.5,0.083,0.792,0.208,0.167,0.167,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
33,0.152,0,0,0.03,0.061,0,0.03,0.121,0,0,0.212,0.121,0,0.03,0,0.121,0.091,0,0,0.03,0.394,0.03,0.606,0.394,0.152,0.121,0.03,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
33,0.182,0,0.061,0.03,0.061,0,0.061,0.121,0,0.061,0.152,0.121,0,0,0,0.091,0.03,0,0,0.03,0.424,0,0.606,0.394,0.152,0.121,0.03,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
33,0.121,0,0.03,0.03,0.061,0,0.061,0.152,0,0.03,0.182,0.152,0.03,0,0,0.061,0.061,0,0,0.03,0.364,0,0.606,0.394,0.182,0.152,0.03,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
34,0.088,0,0.059,0.029,0.059,0,0.059,0.118,0,0.029,0.206,0.147,0,0.029,0,0.088,0.059,0,0,0.029,0.353,0.029,0.559,0.441,0.176,0.147,0.029,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
29,0.103,0,0.103,0.034,0.069,0,0.069,0.103,0,0.069,0.207,0.138,0,0,0,0.103,0,0,0,0,0.379,0,0.552,0.448,0.172,0.138,0.034,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
46,0.022,0.043,0.043,0.043,0.043,0.043,0,0.174,0,0.13,0.087,0.174,0.022,0.022,0,0.043,0.022,0,0,0.087,0.326,0.022,0.587,0.413,0.304,0.217,0.087,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
46,0.043,0.022,0.043,0.043,0.043,0.043,0,0.174,0,0.13,0.087,0.174,0.022,0.022,0,0.043,0.022,0,0,0.087,0.348,0.022,0.609,0.391,0.283,0.196,0.087,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
46,0.043,0.022,0.043,0.043,0.043,0.043,0,0.174,0,0.109,0.109,0.174,0.022,0.022,0,0.043,0.022,0,0,0.087,0.348,0.022,0.609,0.391,0.283,0.196,0.087,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
37,0.135,0,0,0,0.054,0.054,0.027,0.189,0,0.081,0.162,0.189,0,0.027,0,0.027,0,0,0,0.054,0.432,0.027,0.703,0.297,0.243,0.189,0.054,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
37,0.162,0,0,0,0.054,0.054,0.027,0.189,0,0.081,0.135,0.189,0,0.054,0,0.027,0,0,0,0.027,0.405,0.054,0.703,0.297,0.243,0.189,0.054,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
33,0.182,0,0.03,0,0.091,0,0.061,0.091,0,0.03,0.152,0.182,0,0.061,0,0.091,0,0,0.03,0,0.364,0.091,0.636,0.364,0.182,0.182,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
33,0.212,0,0.03,0.03,0.061,0.03,0,0.061,0,0.061,0.091,0.182,0.03,0,0,0.091,0.061,0,0,0.061,0.424,0,0.576,0.424,0.242,0.182,0.061,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
33,0.212,0,0,0.03,0.061,0.03,0,0.061,0,0.061,0.091,0.182,0.03,0,0,0.091,0.091,0,0,0.061,0.424,0,0.576,0.424,0.242,0.182,0.061,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
37,0.108,0,0,0.054,0.054,0,0.054,0.135,0,0.027,0.135,0.162,0,0.027,0,0.054,0.081,0,0,0.108,0.378,0.027,0.595,0.405,0.216,0.162,0.054,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
24,0.125,0,0,0,0.083,0,0,0.042,0,0.042,0.125,0.167,0,0.125,0.042,0.083,0.042,0,0,0.125,0.417,0.125,0.708,0.292,0.167,0.167,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
24,0.125,0,0.042,0,0.083,0,0,0.042,0,0.125,0.208,0.083,0,0.083,0.083,0.042,0.042,0,0.042,0,0.458,0.125,0.792,0.208,0.083,0.083,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
33,0.091,0,0.03,0.061,0.061,0,0,0.121,0,0.061,0.152,0.152,0,0.03,0,0.091,0.091,0.03,0,0.03,0.333,0.061,0.576,0.424,0.212,0.152,0.061,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
33,0.152,0,0.03,0,0.061,0.03,0.061,0.091,0,0.03,0.152,0.182,0,0.061,0,0.091,0,0,0.03,0.03,0.364,0.091,0.606,0.394,0.212,0.182,0.03,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
37,0.108,0,0,0.054,0.054,0,0.054,0.135,0,0.054,0.108,0.162,0.027,0.054,0,0.081,0.054,0,0,0.054,0.324,0.054,0.595,0.405,0.216,0.162,0.054,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
13,0,0.077,0,0,0,0,0,0.154,0,0.154,0.308,0,0,0.077,0.077,0.077,0,0,0,0.077,0.538,0.077,0.846,0.154,0.077,0.077,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
13,0,0,0.077,0,0,0,0,0.077,0,0.077,0.462,0.077,0,0,0.077,0.077,0,0,0,0.077,0.615,0,0.769,0.231,0.077,0.077,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
13,0,0,0.154,0,0,0,0,0.154,0,0.077,0.538,0,0,0,0.077,0,0,0,0,0,0.615,0,0.846,0.154,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
13,0,0,0.154,0,0,0,0,0.077,0,0.154,0.385,0,0,0,0.077,0.077,0,0,0,0.077,0.615,0,0.769,0.231,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
13,0,0,0,0,0,0,0,0.154,0,0.154,0.308,0.077,0,0.077,0.077,0.077,0,0,0,0.077,0.538,0.077,0.846,0.154,0.077,0.077,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
13,0,0.077,0.077,0,0,0,0,0.154,0,0.231,0.154,0,0,0.154,0.077,0,0,0,0,0.077,0.462,0.154,0.846,0.154,0.077,0.077,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
10,0,0,0.1,0,0,0,0,0,0,0,0.6,0.1,0,0,0.1,0.1,0,0,0,0,0.6,0,0.7,0.3,0.1,0.1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
13,0,0.077,0,0,0,0,0.077,0.077,0,0.077,0.154,0.077,0,0.231,0,0.077,0,0.077,0,0.077,0.308,0.308,0.692,0.308,0.154,0.154,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
21,0,0.143,0.048,0,0.095,0,0.048,0.095,0,0.095,0,0.143,0.048,0,0.095,0.048,0.048,0,0.048,0.048,0.143,0.048,0.524,0.476,0.286,0.286,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
45,0.089,0.089,0.022,0.044,0.178,0.067,0.089,0.089,0.044,0.022,0,0.089,0,0.067,0,0.022,0.022,0.022,0,0.044,0.156,0.133,0.511,0.489,0.333,0.222,0.111,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
13,0.077,0,0,0,0,0,0,0.077,0,0.077,0.308,0.077,0,0.154,0.077,0,0.077,0,0,0.077,0.538,0.154,0.846,0.154,0.077,0.077,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
13,0.077,0,0,0,0,0,0,0.077,0,0.077,0.385,0.077,0,0.154,0.077,0.077,0,0,0,0,0.538,0.154,0.846,0.154,0.077,0.077,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
13,0.077,0,0,0,0,0,0,0,0,0,0.385,0.077,0,0.154,0.077,0.077,0.077,0,0,0.077,0.538,0.154,0.769,0.231,0.077,0.077,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
13,0.077,0,0,0,0,0,0,0,0,0,0.385,0.077,0,0.154,0.077,0.154,0,0,0,0.077,0.538,0.154,0.769,0.231,0.077,0.077,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
13,0.077,0,0,0,0,0,0,0,0,0,0.385,0.077,0,0.154,0.077,0.077,0.077,0,0,0.077,0.538,0.154,0.769,0.231,0.077,0.077,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
